image_id,method,processing_time_ms,psnr,ssim,contrast_ratio,vessel_clarity_index,illumination_uniformity,edge_preservation_index,microaneurysm_visibility
01_dr,CLAHE,70.68586349487305,23.013803938213165,0.8086144520625603,1.0098644177507254,0.06971922250400756,0.6860278531499977,0.6497503586880409,0.041456104453261554
01_dr,SSR,25607.6762676239,4.887147835822069,0.42940125381412286,0.4556887534378865,0.026456628804255172,0.8373758504243438,0.0716945963414245,0.22269655860538948
01_dr,MSR,66597.7828502655,4.810885646568519,0.417744550785819,0.4650724734358912,0.029109789303380075,0.8396432036314249,0.059696486914656594,0.2979992528665278
01_dr,MSRCR,74737.32423782349,9.136941137070753,0.2762321853670758,1.7784699672656463,0.02416931156610702,0.6085916303687147,0.6425096484940959,0.30161021755308604
01_g,CLAHE,51.62763595581055,23.394774569650167,0.823913559017375,0.9729678715612862,0.0738136174827096,0.6957432730246235,0.6381801057148625,0.03434756420639375
01_g,SSR,25711.259365081787,4.630422860729959,0.3795341434247645,0.4229635160998486,0.028464113037001876,0.8478793679808007,0.16346609827257783,0.20672673187075952
01_g,MSR,67384.60087776184,4.587209550680676,0.368769591016171,0.443122397220015,0.02593381153283857,0.8473080515515151,0.14281992230011017,0.28030652465026656
01_g,MSRCR,76278.43618392944,9.606539323647095,0.27881332551274723,1.7379908279464455,0.023888322980252338,0.6090198336180944,0.6276126643463984,0.25366521471409764
01_h,CLAHE,55.11951446533203,20.153725631333074,0.8304224401500682,1.0418782089405152,0.056461822400584054,0.6599734973181184,0.7513048272263437,0.03692173019908674
01_h,SSR,27441.21241569519,5.19640397465386,0.45950284328136454,0.414941733093216,0.03012220426185737,0.8365031831553218,0.09379646099243537,0.21806200385926822
01_h,MSR,62061.0716342926,5.120129364733955,0.45340797961680657,0.4207052415505904,0.027127935289334347,0.839804930250663,0.08497412798167626,0.28911079330247835
01_h,MSRCR,78704.39195632935,9.450530922363553,0.3560618987174794,1.603442243189266,0.019581109559605413,0.6156469091314846,0.5685761203261896,0.2371152684881183
